uri,cid,author_handle,author_did,indexedAt,createdAt,text,reply_root_uri,reply_parent_uri,is_repost,like_count,repost_count,reply_count,quote_count,news_title,news_description,news_uri,engagement,cluster,cluster_like_count,cluster_reply_count,cluster_quote_count,cluster_repost_count,cluster_size,cluster_engagement_count,cluster_engagement_rank
at://did:plc:vzmnljt7otfbbgrmachtefxh/app.bsky.feed.post/3lxetzv2acj2r,bafyreib7zfvewjdhdkljx4ypjwppi445jigukvg26dljmt6yzcyjfonlmi,news-flows-ir.bsky.social,did:plc:vzmnljt7otfbbgrmachtefxh,2025-08-27T10:46:19.705Z,2025-08-27T10:00:17.000000Z,"Why Trump’s attack on the Smithsonian matters | Kimberlé Crenshaw and Jason Stanley

The president’s assault on US museums, education and memory is a critical dimension of his fascist aimsIn a letter sent to Smithsonian secretary, Lonnie G Bunch III, on 12 August, the Trump administration...",,,0,248,84,7,6,Why Trump’s attack on the Smithsonian matters | Kimberlé Crenshaw and Jason Stanley,"The president’s assault on US museums, education and memory is a critical dimension of his fascist aims",https://www.theguardian.com/commentisfree/2025/aug/27/why-trumps-attack-on-the-smithsonian-matters,345.0,2,323,14,15,121,69,473,1
at://did:plc:vzmnljt7otfbbgrmachtefxh/app.bsky.feed.post/3lxc2itd4yh2m,bafyreiavshtxeddwefnmqphydsrby32xvfdbh4ewkzqg3kvriqyoyehqtu,news-flows-ir.bsky.social,did:plc:vzmnljt7otfbbgrmachtefxh,2025-08-26T08:04:04.401Z,2025-08-26T07:53:41.000000Z,"Simon Harris says collective European Union action against Israel is ""long overdue""

206 former European ambassadors and officials have signed a letter calling on the EU to step up action against Israel over the humanitarian situation in Gaza
",,,0,5,2,0,0,"Simon Harris - collective European Union action against Israel ""long overdue""",206 former European ambassadors and officials have signed a letter calling on the EU to step up action against Israel over the humanitarian situation in Gaza,https://www.irishmirror.ie/news/irish-news/simon-harris-says-collective-european-35792756,7.0,0,42,66,1,20,80,129,2
at://did:plc:vzmnljt7otfbbgrmachtefxh/app.bsky.feed.post/3lxoxnpo2id2n,bafyreifw2jvywbhhkq5w7fdwqmelavh67kul4aj7igvy7ht2g34gmpdylq,news-flows-ir.bsky.social,did:plc:vzmnljt7otfbbgrmachtefxh,2025-08-31T11:17:43.805Z,2025-08-31T10:43:46.000000Z,"Ray Mayhew dead: 80s music legend dies as bandmate pays touching tribute

Sigue Sigue Sputnik were a new wave band formed in 1982 by former Generation X bassist Tony James.
",,,0,4,1,0,0,Death announced of 80s music legend as touching tributes paid,Sigue Sigue Sputnik were a new wave band formed in 1982 by former Generation X bassist Tony James.,https://www.irishmirror.ie/showbiz/celebrity-news/ray-mayhew-dead-80s-music-35821997,5.0,1,64,11,6,25,71,106,3
at://did:plc:toz4no26o2x4vsbum7cp4bxp/app.bsky.feed.post/3ly65ad54x62s,bafyreicy6ijn7rgrvp6f6ec7bfgbpll7xhrtjg6vzs4yhmot2ngorqzgcy,news-flows-nl.bsky.social,did:plc:toz4no26o2x4vsbum7cp4bxp,2025-09-06T12:07:33.705Z,2025-09-06T11:41:11.000000Z,"CDA-leider Bontenbal: 'Nederland hunkert naar normale politici'

Het CDA zet in deze verkiezingscampagne, geheel volgens verwachting, volledig in op ""fatsoen"". In de speech van partijleider Henri Bontenbal op het partijcongres in Rotterdam duurde het weliswaar een kwartier voor hij het woord in...",,,0,0,1,2,1,CDA-leider Bontenbal: 'Nederland hunkert naar normale politici',Op een drukbezocht CDA-congres is de stemming prima. De leden geloven dat Bontenbal het goed gaat doen bij de verkiezingen.,https://nos.nl/collectie/13999/artikel/2581415-cda-leider-bontenbal-nederland-hunkert-naar-normale-politici,4.0,3,54,12,8,11,64,85,4
at://did:plc:vzmnljt7otfbbgrmachtefxh/app.bsky.feed.post/3lvy3vsexhf24,bafyreig5mnykjlk2husu57kbnuymv7qz5iqnshtzb4om7ym77c65m765gy,news-flows-ir.bsky.social,did:plc:vzmnljt7otfbbgrmachtefxh,2025-08-09T15:37:23.908Z,2025-08-07T22:55:00.000000Z,"Change These 10 iOS 18.6 Settings Now and It'll Feel Like You Got a New iPhone


",,,0,2,2,0,0,Change These 10 iOS 18.6 Settings Now and It'll Feel Like You Got a New iPhone,Some of the best iOS 18 features aren't immediately apparent. These are the ones that have made the biggest impact on my iPhone.,https://www.cnet.com/tech/services-and-software/change-these-10-iphone-settings-first-after-installing-the-new-ios-18-5/?pageview_type=RSS-yahoo-feed,4.0,12,2,0,0,2,1,4,5
at://did:plc:vzmnljt7otfbbgrmachtefxh/app.bsky.feed.post/3lwakefc7bn2q,bafyreig6n6a55hwwh4ft4r2l466irrlts2cms66d4b5ak754lwhe7sg5re,news-flows-ir.bsky.social,did:plc:vzmnljt7otfbbgrmachtefxh,2025-08-13T00:17:24.208Z,2025-08-11T23:50:00.000000Z,"Sony and Honda’s First EV Enters Pre-Production in Ohio


",,,0,2,0,0,1,Sony and Honda’s First EV Enters Pre-Production in Ohio,"Sony Honda Mobility’s first electric vehicle, the Afeela 1, has entered pre-production at Honda’s East Liberty Auto Plant in Ohio. Engineers at the facility are using this stage to fine-tune part fit,...",https://www.autoblog.com/news/sony-and-hondas-first-ev-enters-pre-production-in-ohio,3.0,6,3,0,1,0,2,4,6
at://did:plc:toz4no26o2x4vsbum7cp4bxp/app.bsky.feed.post/3lw36prscff2j,bafyreie5iajcsf5scq62uqzgmd2hamxanc2etpunu2yqhnoi247zaszeum,news-flows-nl.bsky.social,did:plc:toz4no26o2x4vsbum7cp4bxp,2025-08-10T21:05:42.907Z,2025-08-08T10:48:57.000000Z,"De ontgroening als vaccin tegen excessen

Ontgroeningen kunnen juist zorgen dat het gedrag van studenten verbetert, betoogt Barend Last – zo lang ze gericht zijn op het smeden van een groep, en niet op vernedering.
",,,0,1,0,0,1,Opinie | De ontgroening als vaccin tegen excessen,"Studentenverenigingen: Ontgroeningen kunnen juist zorgen dat het gedrag van studenten verbetert, betoogt Barend Last – zo lang ze gericht zijn op het smeden van een groep, en niet op vernedering.",https://www.nrc.nl/nieuws/2025/08/08/de-ontgroening-als-vaccin-tegen-excessen-a4902497,2.0,7,1,0,2,1,2,4,7
at://did:plc:toz4no26o2x4vsbum7cp4bxp/app.bsky.feed.post/3lxgssym63x24,bafyreiehhostlcqfzepeow7c7atjtozpndv3jhkj7jftnn2eo7jcfm5b74,news-flows-nl.bsky.social,did:plc:toz4no26o2x4vsbum7cp4bxp,2025-08-28T05:29:54.304Z,2025-08-28T05:12:43.000000Z,"Video | Asielzoekers uit opvang Amsterdam laten hartje achter bij vindplaats Lisa


",,,0,2,1,0,0,Video | Asielzoekers uit opvang Amsterdam laten hartje achter bij vindplaats Lisa,Een groep asielzoekers heeft woensdagavond een herdenkingstocht gelopen ter nagedachtenis aan Lisa. Het 17-jarige meisje werd vorige week om het leven gebracht toen ze van Amsterdam naar Abcoude fiets...,https://www.nu.nl/319441/video/asielzoekers-uit-opvang-amsterdam-laten-hartje-achter-bij-vindplaats-lisa.html,3.0,13,2,0,0,1,1,3,8
at://did:plc:vzmnljt7otfbbgrmachtefxh/app.bsky.feed.post/3lxgv6nw3242n,bafyreifdtfse2gzq56xmomwh4tah2t7pt64hvuc7f2isfctlofexznpiqe,news-flows-ir.bsky.social,did:plc:vzmnljt7otfbbgrmachtefxh,2025-08-28T06:12:13.506Z,2025-08-28T06:44:01.000000Z,"Minority of young bullying victims tell an adult, research suggests

The findings have been published by the Economic and Social Research Institute.
",,,0,1,1,0,0,"Minority of young bullying victims tell an adult, research suggests | BreakingNews.ie",The findings have been published by the Economic and Social Research Institute.,https://www.breakingnews.ie/ireland/minority-of-young-bullying-victims-tell-an-adult-research-suggests-1796396.html,2.0,5,1,0,0,2,2,3,9
at://did:plc:vzmnljt7otfbbgrmachtefxh/app.bsky.feed.post/3lw74y3usro2p,bafyreihpuyni3fwhgl2fnmrinmyc4rmtyhmeowd3efdxyfkulkopawjbra,news-flows-ir.bsky.social,did:plc:vzmnljt7otfbbgrmachtefxh,2025-08-12T10:45:13.310Z,2025-08-12T10:31:35.000000Z,"New Garda aircraft kitted out with high-tech police surveillance equipment in Austria

Delivery of the new de Havilland Canada-6 Twin Otter Guardian 400 aircraft is anticipated in the coming months.
",,,0,1,1,0,0,New Garda aircraft kitted out with high-tech police surveillance equipment in Austria,Delivery of the new de Havilland Canada-6 Twin Otter Guardian 400 aircraft is anticipated in the coming months.,https://www.thejournal.ie/garda-canada-new-aircraft-otter-6787879-Aug2025/,2.0,9,1,0,0,1,1,2,10
